# Pantheon live cache metrics - before change
timestamp_utc=2026-07-28T20:32:31Z
note=baseline for the browser-language-negotiation cacheability fix

$ terminus env:metrics idaho-legal-aid-services.live --period=day --datapoints=14
 ------------ -------- -------------- -------------- -------------- ----------------- 
  Period       Visits   Pages Served   Cache Hits     Cache Misses   Cache Hit Ratio  
 ------------ -------- -------------- -------------- -------------- ----------------- 
  2026-07-14    1,394          2,486            383          2,103   15.41%           
  2026-07-15    1,531          2,629            448          2,181   17.04%           
  2026-07-16    1,459          2,710            529          2,181   19.52%           
  2026-07-17    1,189          2,279            425          1,854   18.65%           
  2026-07-18      757          1,223            251            972   20.52%           
  2026-07-19      760          1,097            221            876   20.15%           
  2026-07-20    1,671          2,945            597          2,348   20.27%           
  2026-07-21    1,645          2,922            655          2,267   22.42%           
  2026-07-22    1,529          2,777            479          2,298   17.25%           
  2026-07-23    1,666          2,765            549          2,216   19.86%           
  2026-07-24    1,683          2,757            561          2,196   20.35%           
  2026-07-25    1,870          2,359            682          1,677   28.91%           
  2026-07-26    1,427          1,918            508          1,410   26.49%           
  2026-07-27    1,912          3,211            652          2,559   20.31%           
 ------------ -------- -------------- -------------- -------------- ----------------- 
