old_path,hit_count,category,proposed_destination,confidence,match_type,status,notes
/node/2207/idaho-self-help-forms,2033,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/2857,1478,node,,0,no_match,no_match,"Old node ID 2857 - no alias to match"
/events/past?page=1,1399,other,,0,unknown,no_match,"Unknown path format"
/node/2840/pre-filing-workshop-free,843,node,,0,no_match,no_match,"No matching content found"
/node/2856,771,node,,0,no_match,no_match,"Old node ID 2856 - no alias to match"
/events/past?page=2,702,other,,0,unknown,no_match,"Unknown path format"
/node/2748/idaho-senior-legal-risk-detector-english-and-spanish-espanol,694,node,/resources/legal-risk-detector,75,fuzzy_alias,pending,"Matched 3/8 words: legal, risk, detector"
/forms,686,other,,0,unknown,no_match,"Unknown path format"
/files/GuideToIdahoLaborLaws.pdf,505,files,,0,no_match,no_match,"File not found"
/taxonomy/term/2448,439,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2448 does not exist"
/node/41,436,node,,0,no_match,no_match,"Old node ID 41 - no alias to match"
/files/ResidentialConstruction.pdf,417,files,,0,no_match,no_match,"File not found"
/guides,411,other,,0,unknown,no_match,"Unknown path format"
/login,406,other,,0,unknown,no_match,"Unknown path format"
/sites/default/files/YoungAdultHandbook.pdf,396,files,,0,no_match,no_match,"File not found"
/app,394,other,,0,unknown,no_match,"Unknown path format"
/node/1073/referral-resources,366,node,/resources/renter-resources,70,title_match,pending,"Title match: ""Renter Resources"""
/taxonomy/term/2449,363,taxonomy,,0,no_match,no_match,"Old taxonomy term ID 2449 does not exist"
/node/2203,337,node,,0,no_match,no_match,"Old node ID 2203 - no alias to match"
/node/2452/12-common-legal-mistakes-and-how-avoid-them,328,node,/about-idaho-legal-aid-services,70,title_match,pending,"Title match: ""About Idaho Legal Aid Services"""
/node/2207/self-help-idaho-interactive-forms,321,node,/apply-for-help,70,title_match,pending,"Title match: ""Apply for Help"""
/node/1937/free-law-dictionary,314,node,,0,no_match,no_match,"No matching content found"
/node/1335/notary-acknowledgment-template,308,node,,0,no_match,no_match,"No matching content found"
