old_path,hit_count,category,proposed_destination,confidence,match_type,status,notes
/node/2857,1478,node,/forms,0,no_match,approved,Old node ID 2857 - no alias to match
/node/2856,771,node,/forms,0,no_match,approved,Old node ID 2856 - no alias to match
/node/2748/idaho-senior-legal-risk-detector-english-and-spanish-espanol,694,node,/resources/legal-risk-detector,75,fuzzy_alias,approved,"Matched 3/8 words: legal, risk, detector"
"/""https:/www.googletagmanager.com/gtag/js?id=G-QYT2ZNY442%22",4,other,,0,unknown,ignore,Unknown path format
/files/GuideToIdahoLaborLaws.pdf,505,files,/forms,0,no_match,approved,File not found
/node/41,436,node,/forms,0,no_match,approved,Old node ID 41 - no alias to match
/files/ResidentialConstruction.pdf,417,files,/forms,0,no_match,approved,File not found
/%252520,1,other,,0,unknown,ignore,Unknown path format
/%25252520,1,other,,0,unknown,ignore,Unknown path format
/sites/default/files/YoungAdultHandbook.pdf,396,files,/forms,0,no_match,approved,File not found
/%2525252520,1,other,,0,unknown,ignore,Unknown path format
/node/2203,337,node,/forms/domestic-violence,0,no_match,approved,Old node ID 2203 - no alias to match
/node/1937/free-law-dictionary,314,node,/forms,0,no_match,approved,No matching content found
/node/1335/notary-acknowledgment-template,308,node,/forms,0,no_match,approved,No matching content found
/%252525252520,1,other,,0,unknown,ignore,Unknown path format
/%25252525252520,1,other,,0,unknown,ignore,Unknown path format
/sites/default/files/EXECUTION OF JUDGMENTS brochure_May 2020.pdf,258,files,/forms,0,no_match,approved,File not found
/node/241,248,node,/forms,0,no_match,approved,Old node ID 241 - no alias to match
/%2525252525252520,1,other,,0,unknown,ignore,Unknown path format
/node/2040/your-lawyer,241,node,/forms,0,no_match,approved,No matching content found
/sites/default/files/Assistive Animal Packet_1.pdf,241,files,/forms,0,no_match,approved,File not found
/node/2560/elder-law-video,230,node,/forms,0,no_match,approved,No matching content found
/node/2170/contact-us,228,node,/forms,0,no_match,approved,No matching content found
/node/2279/retaliation,218,node,/forms,0,no_match,approved,No matching content found
/%252525252525252520,1,other,,0,unknown,ignore,Unknown path format
/node/2259/idaho-department-health-welfare,203,node,/forms,0,no_match,approved,No matching content found
/node/1330/advice-renters-repairs,202,node,/forms,0,no_match,approved,No matching content found
/node/1282/aid-aged-blind-and-disabled,197,node,/forms,0,no_match,approved,No matching content found
/topics/2425/identity-theft,197,topics,/resources/fraud-and-identity-theft,92,topic_to_resource,approved,"Topic ""Identity Theft"" → Resource ""Fraud and Identity Theft"""
/files/ID_MHP_LL-T_Act.pdf,195,files,/forms,0,no_match,approved,File not found
/node/2540/demand-for-accounting-letter,193,node,/forms,0,no_match,approved,No matching content found
/node/1120/emergency-help,190,node,/forms,0,no_match,approved,No matching content found
/files/Q&A_Wills.pdf,182,files,/forms,0,no_match,approved,File not found
/node/2041/your-money,181,node,/forms,0,no_match,approved,No matching content found
/%25252525252525252520,1,other,,0,unknown,ignore,Unknown path format
/node/2495/18inidahoorg,167,node,/forms,0,no_match,approved,No matching content found
